id_review,name,review,rate
160.0,Novi Fajriyanti,"Untuk harga segini, kualitas good dan sesuai deskripsi, dapat berfungsi sebagai mana mestinya.. semoga awet dan bermanfaat.",3
161.0,RIDWAN,"Pesen
 warna putih di kirim warna hitam...gpp dh",3
162.0,RIDWAN,"Pesen
 warna putih di kirim warna hitam...gpp dh",3
163.0,S***I,harga fungsi kualitas produk ok,4
164.0,H***a,harga kualitas fungsi produk oke,4
165.0,s***a,Barang pecah apa mungkin dari pengiriman,4
166.0,P***i,"Mantul ia
gudlak pokoe",4
167.0,Arry Agung,Batok charger sdh diterima dan dipakai.  Berfungsi baik.,4
168.0,Ali Y. Sutrisna,"Pesen 2pcs, request warna item & putih dtg mya putih smua. Tp bagus brg fungsi smua. Maknyos lah. Tks gan",4
169.0,Cioto Cotto,Barang bagus,4
170.0,Nanang Tanhari,beli 4 berfungsi semua... tapi ngecash semalaman nggk bisa penuh,4
171.0,Souvenir Almatsurat,"harga murah meriah
kualitas sesuai harga
beli 2, yg satu ok
yg satu lg koclak",4
172.0,Eko agus,Bagus,4
173.0,Ali Y. Sutrisna,"Pesen 2pcs, request warna item & putih dtg mya putih smua. Tp bagus brg fungsi smua. Maknyos lah. Tks gan",4
174.0,Cioto Cotto,Barang bagus,4
175.0,Nanang Tanhari,beli 4 berfungsi semua... tapi ngecash semalaman nggk bisa penuh,4
176.0,Souvenir Almatsurat,"harga murah meriah
kualitas sesuai harga
beli 2, yg satu ok
yg satu lg koclak",4
177.0,Eko agus,Bagus,4
178.0,Sobani,"Barang d sampe, oke, cuma paking kaya buntelan toge, tapi g pape, mksh ye.....",4
179.0,Bustami Giox Prayogo,"Cepet panas, & utk charge kabel modelC kadang nggak masuk/ nggak berfungsi",4
180.0,I***t,harga kualitas fungsi produk,4
181.0,Yanyan Sopian,"produk sesuai deskripsi, cuma blm dicoba kecepatan cargingnya",4
182.0,yayan handayani,harga kualitas fungsi,4
183.0,Sobani,"Barang d sampe, oke, cuma paking kaya buntelan toge, tapi g pape, mksh ye.....",4
184.0,Bustami Giox Prayogo,"Cepet panas, & utk charge kabel modelC kadang nggak masuk/ nggak berfungsi",4
185.0,I***t,harga kualitas fungsi produk,4
186.0,Yanyan Sopian,"produk sesuai deskripsi, cuma blm dicoba kecepatan cargingnya",4
187.0,yayan handayani,harga kualitas fungsi,4
188.0,A***t,Semoga awet,4
189.0,triyanto,blm dicbain soaly mw djual lgi,4
190.0,dedekkasori,Bagus dan berfungsi,4
191.0,Bahri Ersa,harga kualitas sesuai,4
192.0,khusnul yazid,"batoknya udah di cek semua pake ampere meter android, yg 4 di bawah 500ma yg satu 0ma. kalo 2A seharusnya sih di ampere meternya 2000ma. yaaa  harga  sebanding sama kualitas.",4
193.0,A***e,"Sdh terima, mantull gan",5
194.0,T***N,"harga kualitas fungsi produk sesuai pesanan.
Terima kasih",5
195.0,T***a,Sip,5
196.0,S***f,fungsi harga kualitas produk,5
197.0,a***n,bagus .pengiriman juga cepat.sesuai gambar.,5
198.0,B***s,Beli 4 pcs ....1 pcs mati / tdk berfungsi ....ada harga ada rupa ....,5
199.0,eded rosadi,Barang bagus sesuai spesifikasi dan kebutuhan,5
200.0,mashan deritano,Bagus... puas banget...,5
201.0,Robins,Mantappppppp. kualitas kerennn,5
202.0,yova herviansyah,harga kualitas fungsi,5
203.0,yova herviansyah,harga kualitas fungsi,5
204.0,Ramdan Ardiansyah,harga kualitas fungsi produk ok,5
205.0,erfina ferliyanti bukit,produk fungsi kualitas harga,5
206.0,haryanto,harga kualitas fungsi produk,5
207.0,dhany Syahputra,harga kualitas fungsi produk oke maknyos,5
208.0,Chrisna Dedy Putra,"Nyampe dengan selamat ... InsyaAllah mudah""an kualitas barangnya juga bagus. Soalnya juragan pelapaknya gak mau respon ketika dichat, chat saya udah bertumpuk k'pelapaknya, tp tetap gak mau direspon!",5
209.0,Noor Tjahjo Dirgantoro,"Barang ok, smoga awet. trim's",5
210.0,sartono,harga produk,5
211.0,Antok Gondrong,istimewa berfungsi dgn baik,5
212.0,sabarwahyudin,harga kualitas fungsi produk,5
213.0,erfina ferliyanti bukit,produk fungsi kualitas harga,5
214.0,dwi sujadi,Barang sesuai pesanan...harga kualitas fungsi,5
215.0,Chrisna Dedy Putra,"Nyampe dengan selamat ... InsyaAllah mudah""an kualitas barangnya juga bagus. Soalnya juragan pelapaknya gak mau respon ketika dichat, chat saya udah bertumpuk k'pelapaknya, tp tetap gak mau direspon!",5
216.0,Noor Tjahjo Dirgantoro,"Barang ok, smoga awet. trim's",5
217.0,Antok Gondrong,istimewa berfungsi dgn baik,5
218.0,syaifullah,fungsi and yes,5
219.0,a***i,harga fungsi produk,5
220.0,Agus Setiyawan Widodo,harga kualitas fungsi produk berfungsi dengan baik,5
221.0,Udih Rudiansah,baru sampe semoga produk kualitas nya bagus fungsi dengan baik dan harga nya murah,5
222.0,Rahmat Rahadi,"harga murah dan kualitas bagus
fungsi produk  oke
cepat sekali kirimnya 
sempurna 😍",5
223.0,dwi sujadi,Barang sesuai pesanan...harga kualitas fungsi,5
224.0,Chrisna Dedy Putra,"Nyampe dengan selamat ... InsyaAllah mudah""an kualitas barangnya juga bagus. Soalnya juragan pelapaknya gak mau respon ketika dichat, chat saya udah bertumpuk k'pelapaknya, tp tetap gak mau direspon!",5
